from_lon,from_lat,to_lon,to_lat,google_maps_transit_url,travel_time
9.1022,39.229,9.117199999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.229%2C9.1022&destination=39.22%2C9.117199999999999&travelmode=transit",34
9.1022,39.229,9.1184,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.229%2C9.1022&destination=39.22%2C9.1184&travelmode=transit",35
9.1022,39.229,9.1196,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.229%2C9.1022&destination=39.22%2C9.1196&travelmode=transit",37
9.1022,39.229,9.1208,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.229%2C9.1022&destination=39.22%2C9.1208&travelmode=transit",36
9.1034,39.229,9.11,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.229%2C9.1034&destination=39.22%2C9.11&travelmode=transit",29
9.1034,39.229,9.1112,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.229%2C9.1034&destination=39.22%2C9.1112&travelmode=transit",42
9.1034,39.229,9.1124,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.229%2C9.1034&destination=39.22%2C9.1124&travelmode=transit",34
9.1034,39.229,9.1136,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.229%2C9.1034&destination=39.22%2C9.1136&travelmode=transit",36
9.1034,39.229,9.114799999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.229%2C9.1034&destination=39.22%2C9.114799999999999&travelmode=transit",40
9.1034,39.229,9.116,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.229%2C9.1034&destination=39.22%2C9.116&travelmode=transit",39
9.1034,39.229,9.117199999999999,39.22,"https://www.google.com/maps/dir/?api=1&origin=39.229%2C9.1034&destination=39.22%2C9.117199999999999&travelmode=transit",38
